City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,54.77,69,88,11.23,SH,1699561666
1,papatowai,-46.5619,169.4708,47.82,56,86,0.76,NZ,1699561438
2,newman,37.3138,-121.0208,67.05,36,100,3.0,US,1699561069
3,pontes e lacerda,-15.2261,-59.3353,83.55,63,100,2.89,BR,1699561671
4,bredasdorp,-34.5322,20.0403,59.05,79,0,5.61,ZA,1699561446
5,waitangi,-43.9535,-176.5597,47.82,77,99,5.01,NZ,1699561466
6,bilibino,68.0546,166.4372,-7.65,99,100,1.86,RU,1699561565
7,invercargill,-46.4,168.35,45.39,63,15,3.8,NZ,1699561428
8,maitum,6.0392,124.4986,77.97,83,39,4.0,PH,1699561679
9,itoman,26.1247,127.6694,79.57,92,20,11.5,JP,1699561680
10,longyearbyen,78.2186,15.6401,26.44,74,75,12.66,SJ,1699561683
11,la ronge,55.1001,-105.2842,32.25,86,100,1.14,CA,1699561685
12,yellowknife,62.456,-114.3525,31.41,97,100,19.57,CA,1699561246
13,wynyard,-41.0,145.7167,52.2,93,65,4.21,AU,1699561688
14,dryden,49.7833,-92.7503,34.09,86,75,8.05,CA,1699561275
15,chonchi,-42.6128,-73.8092,58.21,52,98,2.01,CL,1699561521
16,grytviken,-54.2811,-36.5092,35.17,97,97,4.59,GS,1699561471
17,adamstown,-25.066,-130.1015,72.66,87,100,16.89,PN,1699561453
18,port-aux-francais,-49.35,70.2167,41.59,95,100,26.51,TF,1699561467
19,argo,37.6333,22.7333,61.79,78,100,3.65,GR,1699561701
20,bandarbeyla,9.4942,50.8122,79.72,81,100,16.17,SO,1699561703
21,tamiahua,21.2667,-97.45,80.8,80,80,13.33,MX,1699561705
22,mar del plata,-38.0023,-57.5575,66.83,70,0,18.01,AR,1699561642
23,guerrero negro,27.9769,-114.0611,77.14,35,0,5.19,MX,1699561679
24,port augusta,-32.5,137.7667,73.53,31,6,3.76,AU,1699561711
25,jamestown,42.097,-79.2353,48.02,79,100,3.0,US,1699561613
